label,subject,body
0,Project update,The project review is scheduled for Tuesday. Please bring your notes.
0,Meeting minutes,Here are the agreed actions from our internal planning meeting.
0,Lunch menu,The cafeteria menu for this week is attached for reference.
0,Welcome to the team,Your orientation begins Monday with the local support team.
0,Invoice received,We received invoice 1002 and it will follow the normal approval process.
0,Delivery schedule,The test equipment delivery remains scheduled for next week.
0,Password policy reminder,Use the approved internal process when your password expires.
0,Document review,Please review the draft stored in our approved workspace.
0,Quarterly report,The synthetic quarterly report is ready for the planned meeting.
0,Training reminder,Your scheduled security awareness training begins tomorrow.
0,Support ticket update,Fake support ticket EXAMPLE-42 has been updated.
0,Holiday notice,The example office will be closed on the listed public holiday.
1,URGENT account suspension,Verify your account immediately or access will be suspended.
1,Password expires now,Send your password and OTP now to avoid account termination.
1,Confidential payment request,Wire payment today and keep this request secret.
1,Gift cards needed urgently,Purchase gift cards immediately and reply with the codes.
1,Invoice action required,Open the invoice and enable content to view the amount.
1,Delivery failed,Your package is held. Verify login details immediately.
1,Security alert,Your mailbox is locked. Confirm credentials within 24 hours.
1,Shared document,Enable editing and sign in immediately to view the document.
1,Refund available,Claim the prize refund now by confirming bank details.
1,Executive request,Make an urgent transfer and do not tell anyone.
1,Account verification,Provide password OTP and PIN to restore access.
1,Final warning,Act now or your example account will be terminated.
